# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Fri Jan 28 21:25:45 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: LSST ugrizy, July 2019 total filter throughputs for DP0 (all ABmags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0002 -1.89055 10.00000 0.7500000000 3.0487992764    0.750  0.020  3.8017  4.452    1  0.000  0.531     0.00     0.00 -1 -8.99e-14      0.00 8.514e-01 1.485e-01 2.289e-05 6.293e-06 5.746e-05 -1.000 9.997e-05 4.720 5.652 4.980 4.750 4.683 4.684 4.699
0.0002 -1.89055 10.00000 0.7575349212 3.0524649620    0.757  0.061  3.8050  4.429    1  0.000  0.531     0.00     0.00 -1 -1.01e-13      0.00 8.522e-01 1.476e-01 2.291e-05 6.301e-06 5.755e-05 -1.000 1.141e-04 4.618 5.542 4.871 4.650 4.588 4.593 4.609
0.0002 -1.89055 10.00000 0.7672262192 3.0570774078    0.767  0.116  3.8093  4.396    1  0.000  0.530     0.00     0.00 -1 -1.18e-13      0.00 8.532e-01 1.467e-01 2.294e-05 6.313e-06 5.769e-05 -1.000 1.003e-04 4.480 5.393 4.722 4.514 4.459 4.468 4.486
0.0002 -1.89055 10.00000 0.7758106589 3.0610694885    0.775  0.168  3.8130  4.363    1  0.000  0.530     0.00     0.00 -1 -1.38e-13      0.00 8.540e-01 1.459e-01 2.298e-05 6.327e-06 5.785e-05 -1.000 1.506e-04 4.349 5.255 4.581 4.384 4.335 4.348 4.367
0.0002 -1.89055 10.00000 0.7840024233 3.0648000240    0.783  0.222  3.8165  4.328    1  0.000  0.529     0.00     0.00 -1 -1.61e-13      0.00 8.546e-01 1.453e-01 2.303e-05 6.342e-06 5.801e-05 -1.000 1.362e-04 4.215 5.114 4.437 4.250 4.207 4.224 4.245
0.0002 -1.89055 10.00000 0.7915527225 3.0681722164    0.791  0.275  3.8196  4.291    1  0.000  0.529     0.00     0.00 -1 -1.89e-13      0.00 8.551e-01 1.448e-01 2.308e-05 6.360e-06 5.818e-05 -1.000 1.165e-04 4.082 4.976 4.295 4.117 4.079 4.099 4.122
0.0002 -1.89055 10.00000 0.7984629273 3.0712034702    0.797  0.328  3.8223  4.253    1  0.000  0.529     0.00     0.00 -1 -2.22e-13      0.00 8.555e-01 1.444e-01 2.314e-05 6.378e-06 5.836e-05 -1.000 1.000e-04 3.950 4.840 4.155 3.986 3.953 3.976 3.999
0.0002 -1.89055 10.00000 0.8000000119 3.0718705654    0.799  0.340  3.8229  4.244    1  0.000  0.529     0.00     0.00 -1  -2.3e-13      0.00 8.555e-01 1.444e-01 2.315e-05 6.382e-06 5.840e-05 -1.000 9.997e-05 3.920 4.809 4.123 3.955 3.924 3.947 3.970
0.0002 -1.89055 10.00000 0.8062519431 3.0745570660    0.805  0.391  3.8251  4.205    1  0.000  0.529     0.00     0.00 -1  -2.7e-13      0.00 8.551e-01 1.448e-01 2.322e-05 6.400e-06 5.857e-05 -1.000 1.128e-04 3.793 4.680 3.988 3.828 3.800 3.826 3.850
0.0002 -1.89055 10.00000 0.8137125373 3.0777072906    0.812  0.456  3.8269  4.151    1  0.000  0.529     0.00     0.00 -1 -3.32e-13      0.00 8.527e-01 1.471e-01 2.353e-05 6.484e-06 5.933e-05 -1.000 1.280e-04 3.629 4.515 3.816 3.663 3.639 3.667 3.691
0.0002 -1.89055 10.00000 0.8148087263 3.0781652927    0.814  0.467  3.8269  4.141    1  0.000  0.529     0.00     0.00 -1 -3.46e-13      0.00 8.524e-01 1.475e-01 2.357e-05 6.496e-06 5.944e-05 -1.000 1.302e-04 3.603 4.490 3.789 3.636 3.613 3.641 3.665
0.0002 -1.89055 10.00000 0.8164846897 3.0788629055    0.815  0.484  3.8267  4.124    1  0.000  0.529     0.00     0.00 -1 -3.66e-13      0.00 8.519e-01 1.480e-01 2.364e-05 6.515e-06 5.961e-05 -1.000 1.336e-04 3.559 4.447 3.745 3.592 3.568 3.596 3.620
0.0002 -1.89055 10.00000 0.8212357163 3.0808248520    0.820  0.537  3.8253  4.069    1  0.000  0.529     0.00     0.00 -1 -4.37e-13      0.00 8.503e-01 1.495e-01 2.384e-05 6.569e-06 6.010e-05 -1.000 1.433e-04 3.429 4.321 3.615 3.459 3.434 3.461 3.484
0.0002 -1.89055 10.00000 0.8251846433 3.0824377537    0.824  0.586  3.8221  4.008    1  0.000  0.529     0.00     0.00 -1 -5.25e-13      0.00 8.491e-01 1.508e-01 2.400e-05 6.613e-06 6.050e-05 -1.000 1.511e-04 3.305 4.205 3.495 3.332 3.303 3.327 3.348
0.0002 -1.89055 10.00000 0.8258515000 3.0827085972    0.824  0.595  3.8213  3.996    1  0.000  0.529     0.00     0.00 -1 -5.43e-13      0.00 8.489e-01 1.510e-01 2.403e-05 6.620e-06 6.056e-05 -1.000 1.524e-04 3.282 4.184 3.474 3.309 3.278 3.302 3.323
0.0002 -1.89055 10.00000 0.8265451193 3.0829899311    0.825  0.605  3.8202  3.982    2  0.000  0.529     0.00     0.00 -1 -5.68e-13      0.00 8.486e-01 1.512e-01 2.406e-05 6.628e-06 6.063e-05 -1.000 1.539e-04 3.257 4.162 3.450 3.283 3.250 3.273 3.293
0.0002 -1.89055 10.00000 0.8288735151 3.0839304924    0.827  0.643  3.8146  3.923    2  0.000  0.529     0.00     0.00 -1 -6.58e-13      0.00 8.479e-01 1.519e-01 2.415e-05 6.654e-06 6.087e-05 -1.000 1.584e-04 3.162 4.081 3.366 3.185 3.144 3.161 3.178
0.0002 -1.89055 10.00000 0.8306453824 3.0846424103    0.829  0.677  3.8075  3.862    2  0.000  0.529     0.00     0.00 -1 -7.62e-13      0.00 8.473e-01 1.525e-01 2.423e-05 6.674e-06 6.105e-05 -1.000 1.620e-04 3.078 4.016 3.297 3.097 3.045 3.055 3.069
0.0002 -1.89055 10.00000 0.8320266008 3.0851955414    0.830  0.707  3.7990  3.799    2  0.000  0.529     0.00     0.00 -1 -8.77e-13      0.00 8.469e-01 1.529e-01 2.428e-05 6.689e-06 6.119e-05 -1.000 1.647e-04 3.004 3.967 3.241 3.018 2.954 2.955 2.965
0.0002 -1.89055 10.00000 0.8331366181 3.0856385231    0.831  0.734  3.7896  3.734    2  0.000  0.529     0.00     0.00 -1    -1e-12      0.00 8.466e-01 1.533e-01 2.433e-05 6.701e-06 6.130e-05 -1.000 1.669e-04 2.936 3.931 3.196 2.948 2.868 2.860 2.865
0.0002 -1.89055 10.00000 0.8340604305 3.0860061646    0.832  0.758  3.7795  3.670    2  0.000  0.530     0.00     0.00 -1 -1.15e-12      0.00 8.405e-01 1.593e-01 2.504e-05 6.893e-06 6.303e-05 -1.000 1.567e-04 2.874 3.908 3.160 2.884 2.788 2.770 2.770
0.0002 -1.89055 10.00000 0.8348646760 3.0863256454    0.833  0.781  3.7703  3.611    2  0.000  0.532     0.00     0.00 -1 -1.29e-12      0.00 8.187e-01 1.812e-01 2.754e-05 7.563e-06 6.901e-05 -1.000 1.552e-04 2.817 3.897 3.128 2.825 2.715 2.687 2.682
0.0002 -1.89055 10.00000 0.8356062770 3.0866198540    0.834  0.806  3.7618  3.553    2  0.000  0.534     0.00     0.00 -1 -1.46e-12      0.00 7.955e-01 2.043e-01 3.019e-05 8.273e-06 7.535e-05 -1.000 1.641e-04 2.756 3.883 3.091 2.763 2.640 2.604 2.593
0.0002 -1.89055 10.00000 0.8363502026 3.0869143009    0.834  0.838  3.7540  3.489    2  0.000  0.536     0.00     0.00 -1 -1.69e-12      0.00 7.798e-01 2.200e-01 3.201e-05 8.758e-06 7.966e-05 -1.000 1.938e-04 2.674 3.849 3.033 2.681 2.545 2.502 2.486
0.0002 -1.89055 10.00000 0.8369317651 3.0871438980    0.835  0.874  3.7490  3.434    2  0.000  0.536     0.00     0.00 -1 -1.96e-12      0.00 7.733e-01 2.265e-01 3.276e-05 8.959e-06 8.146e-05 -1.000 2.000e-04 2.585 3.795 2.959 2.592 2.448 2.400 2.381
